URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
https://hapi.fhir.tw/fhir/ValueSet/sf-BetNutChewAmount-valueset,0.1.0,draft,,SFBetNutChewAmountValueSet,【本地 stub】每日嚼檳榔量值集（非權威定義）,"Betel Nut Chewing Amount Value Set",,"Internal"
https://hapi.fhir.tw/fhir/ValueSet/sf-BetNutChewBeh-valueset,0.1.0,draft,,SFBetNutChewBehValueSet,【本地 stub】嚼檳榔行為值集（非權威定義）,"Betel Nut Chewing Behavior Value Set",,"Internal"
https://hapi.fhir.tw/fhir/ValueSet/sf-BetNutChewQuit-valueset,0.1.0,draft,,SFBetNutChewQuitValueSet,【本地 stub】戒嚼檳榔年值集（非權威定義）,"Betel Nut Chewing Quit Value Set",,"Internal"
https://hapi.fhir.tw/fhir/ValueSet/sf-BetNutChewYear-valueset,0.1.0,draft,,SFBetNutChewYearValueSet,【本地 stub】嚼檳榔年值集（非權威定義）,"Betel Nut Chewing Year Value Set",,"Internal"
https://twcore.mohw.gov.tw/ig/twha/ValueSet/VS-Appendix10-Dust-RequiredSet,0.1.0,draft,,VS_Appendix10DustRequiredSet,附表十 粉塵作業 專屬應執行項目值集,"附表十第 23 項粉塵作業之家族專屬檢查項目（胸部 X 光與肺功能）。共同一般項目見 VS-Appendix9-RequiredSet。用於完整性稽核，非 element binding。",,"LOINC"
https://twcore.mohw.gov.tw/ig/twha/ValueSet/VS-Appendix10-Lead-RequiredSet,0.1.0,draft,,VS_Appendix10LeadRequiredSet,附表十 鉛作業 專屬應執行項目值集,"附表十第 5 項鉛作業之家族專屬檢查項目。附表十本文僅列血中鉛；尿中鉛／共聚卟啉／δ-ALA 係職安署特殊健檢細項生物偵測之口徑（非附表十逐字項目），該範疇界定為未決事項 M-11。共同一般項目見 VS-Appendix9-RequiredSet。用於完整性稽核，非 element binding。",,"LOINC"
https://twcore.mohw.gov.tw/ig/twha/ValueSet/VS-Appendix10-Noise-RequiredSet,0.1.0,draft,,VS_Appendix10NoiseRequiredSet,附表十 噪音作業 專屬應執行項目值集,"附表十第 2 項噪音作業之家族專屬檢查項目（純音聽力）。共同一般項目見 VS-Appendix9-RequiredSet。用於完整性稽核，非 element binding。",,"LOINC"
https://twcore.mohw.gov.tw/ig/twha/ValueSet/VS-Appendix10-Operation,0.1.0,active,,VS_Appendix10Operation,附表十特別危害健康作業值集（35 項）,"包含《勞工健康保護規則》附表十 35 項法定具名作業之代碼。",,"Internal"
https://twcore.mohw.gov.tw/ig/twha/ValueSet/VS-Appendix10-OrganicSolvent-RequiredSet,0.1.0,draft,,VS_Appendix10OrganicSolventRequiredSet,附表十 有機溶劑作業 專屬應執行項目值集,"附表十第 7–12、33–35 項有機溶劑類作業之家族專屬檢查項目：各作業之尿中生物偵測代謝物與肝功能。⚠️ 附表十本文對此類作業僅列肝功能（ALT／γ-GT，二硫化碳另含心電圖）；各尿中代謝物係職安署特殊健檢細項生物偵測之口徑（非附表十逐字項目），該範疇界定為未決事項 M-11。附表十號別 → 代謝物之對應見 special-exam.md 涵蓋表。共同一般項目見 VS-Appendix9-RequiredSet。用於完整性稽核，非 element binding。",,"LOINC"
https://twcore.mohw.gov.tw/ig/twha/ValueSet/VS-Appendix10-RequiredSet,0.1.0,draft,,VS_Appendix10RequiredSet,附表十 特殊健康檢查應執行項目值集（已落地家族）,"附表十特別危害健康作業之家族專屬應執行項目 grouping 值集。**目前僅含已通過術語稽核之四家族**（噪音／鉛／粉塵／有機溶劑）；其餘八家族之專屬代碼待 JOB-01 臨床確認後擴充（見 special-exam.md 涵蓋表與未決事項 M-8）。任一家族之完整情境需求 ＝ 本 grouping 對應子集 ∪ VS-Appendix9-RequiredSet。用於完整性稽核，非 element binding。",,
